geraetenummer;bezeichnung;serial_nummer;depot;baujahr;status;subgroup;machine_tab_data
DEMO-000236;Bagger klein 36;SN-DEMO-000236;Schwehat;2019;klein;Bagger;{}
DEMO-000237;Bagger klein 37;SN-DEMO-000237;Schwehat;2020;klein;Bagger;{}
DEMO-000238;Bagger klein 38;SN-DEMO-000238;Schwehat;2021;klein;Bagger;{}
DEMO-000239;Bagger klein 39;SN-DEMO-000239;Schwehat;2022;klein;Bagger;{}
DEMO-000240;Bagger klein 40;SN-DEMO-000240;Schwehat;2023;klein;Bagger;{}
DEMO-000241;Bagger klein 41;SN-DEMO-000241;Schwehat;2024;klein;Bagger;{}
DEMO-000242;Bagger klein 42;SN-DEMO-000242;Schwehat;2025;klein;Bagger;{}
DEMO-000243;Bagger klein 43;SN-DEMO-000243;Schwehat;2026;klein;Bagger;{}
DEMO-000244;Bagger klein 44;SN-DEMO-000244;Schwehat;2018;klein;Bagger;{}
DEMO-000245;Bagger klein 45;SN-DEMO-000245;Schwehat;2019;klein;Bagger;{}
DEMO-000246;Bagger klein 46;SN-DEMO-000246;Schwehat;2020;klein;Bagger;{}
DEMO-000247;Bagger klein 47;SN-DEMO-000247;Schwehat;2021;klein;Bagger;{}
DEMO-000248;Bagger klein 48;SN-DEMO-000248;Schwehat;2022;klein;Bagger;{}
DEMO-000249;Bagger klein 49;SN-DEMO-000249;Schwehat;2023;klein;Bagger;{}
DEMO-000250;Bagger klein 50;SN-DEMO-000250;Schwehat;2024;klein;Bagger;{}
DEMO-000251;Bagger gross 01;SN-DEMO-000251;Schwehat;2025;gross;Bagger;{}
DEMO-000252;Bagger gross 02;SN-DEMO-000252;Schwehat;2026;gross;Bagger;{}
DEMO-000253;Bagger gross 03;SN-DEMO-000253;Schwehat;2018;gross;Bagger;{}
DEMO-000254;Bagger gross 04;SN-DEMO-000254;Schwehat;2019;gross;Bagger;{}
DEMO-000255;Bagger gross 05;SN-DEMO-000255;Schwehat;2020;gross;Bagger;{}
DEMO-000256;Bagger gross 06;SN-DEMO-000256;Schwehat;2021;gross;Bagger;{}
DEMO-000257;Bagger gross 07;SN-DEMO-000257;Schwehat;2022;gross;Bagger;{}
DEMO-000258;Bagger gross 08;SN-DEMO-000258;Schwehat;2023;gross;Bagger;{}
DEMO-000259;Bagger gross 09;SN-DEMO-000259;Schwehat;2024;gross;Bagger;{}
DEMO-000260;Bagger gross 10;SN-DEMO-000260;Schwehat;2025;gross;Bagger;{}
DEMO-000261;Bagger gross 11;SN-DEMO-000261;Schwehat;2026;gross;Bagger;{}
DEMO-000262;Bagger gross 12;SN-DEMO-000262;Schwehat;2018;gross;Bagger;{}
DEMO-000263;Bagger gross 13;SN-DEMO-000263;Schwehat;2019;gross;Bagger;{}
DEMO-000264;Bagger gross 14;SN-DEMO-000264;Schwehat;2020;gross;Bagger;{}
DEMO-000265;Bagger gross 15;SN-DEMO-000265;Schwehat;2021;gross;Bagger;{}
DEMO-000266;Bagger gross 16;SN-DEMO-000266;Schwehat;2022;gross;Bagger;{}
DEMO-000267;Bagger gross 17;SN-DEMO-000267;Schwehat;2023;gross;Bagger;{}
DEMO-000268;Bagger gross 18;SN-DEMO-000268;Schwehat;2024;gross;Bagger;{}
DEMO-000269;Bagger gross 19;SN-DEMO-000269;Schwehat;2025;gross;Bagger;{}
DEMO-000270;Bagger gross 20;SN-DEMO-000270;Schwehat;2026;gross;Bagger;{}
DEMO-000271;Bagger gross 21;SN-DEMO-000271;Schwehat;2018;gross;Bagger;{}
DEMO-000272;Bagger gross 22;SN-DEMO-000272;Schwehat;2019;gross;Bagger;{}
DEMO-000273;Bagger gross 23;SN-DEMO-000273;Schwehat;2020;gross;Bagger;{}
DEMO-000274;Bagger gross 24;SN-DEMO-000274;Schwehat;2021;gross;Bagger;{}
DEMO-000275;Bagger gross 25;SN-DEMO-000275;Schwehat;2022;gross;Bagger;{}
DEMO-000276;Bagger gross 26;SN-DEMO-000276;Schwehat;2023;gross;Bagger;{}
DEMO-000277;Bagger gross 27;SN-DEMO-000277;Schwehat;2024;gross;Bagger;{}
DEMO-000278;Bagger gross 28;SN-DEMO-000278;Schwehat;2025;gross;Bagger;{}
DEMO-000279;Bagger gross 29;SN-DEMO-000279;Schwehat;2026;gross;Bagger;{}
DEMO-000280;Bagger gross 30;SN-DEMO-000280;Schwehat;2018;gross;Bagger;{}
DEMO-000281;Bagger gross 31;SN-DEMO-000281;Schwehat;2019;gross;Bagger;{}
DEMO-000282;Bagger gross 32;SN-DEMO-000282;Schwehat;2020;gross;Bagger;{}
DEMO-000283;Bagger gross 33;SN-DEMO-000283;Schwehat;2021;gross;Bagger;{}
DEMO-000284;Bagger gross 34;SN-DEMO-000284;Schwehat;2022;gross;Bagger;{}
DEMO-000285;Bagger gross 35;SN-DEMO-000285;Schwehat;2023;gross;Bagger;{}
DEMO-000286;Bagger gross 36;SN-DEMO-000286;Schwehat;2024;gross;Bagger;{}
DEMO-000287;Bagger gross 37;SN-DEMO-000287;Schwehat;2025;gross;Bagger;{}
DEMO-000288;Bagger gross 38;SN-DEMO-000288;Schwehat;2026;gross;Bagger;{}
DEMO-000289;Bagger gross 39;SN-DEMO-000289;Schwehat;2018;gross;Bagger;{}
DEMO-000290;Bagger gross 40;SN-DEMO-000290;Schwehat;2019;gross;Bagger;{}
DEMO-000291;Bagger gross 41;SN-DEMO-000291;Schwehat;2020;gross;Bagger;{}
DEMO-000292;Bagger gross 42;SN-DEMO-000292;Schwehat;2021;gross;Bagger;{}
DEMO-000293;Bagger gross 43;SN-DEMO-000293;Schwehat;2022;gross;Bagger;{}
DEMO-000294;Bagger gross 44;SN-DEMO-000294;Schwehat;2023;gross;Bagger;{}
DEMO-000295;Bagger gross 45;SN-DEMO-000295;Schwehat;2024;gross;Bagger;{}
DEMO-000296;Bagger gross 46;SN-DEMO-000296;Schwehat;2025;gross;Bagger;{}
DEMO-000297;Bagger gross 47;SN-DEMO-000297;Schwehat;2026;gross;Bagger;{}
DEMO-000298;Bagger gross 48;SN-DEMO-000298;Schwehat;2018;gross;Bagger;{}
DEMO-000299;Bagger gross 49;SN-DEMO-000299;Schwehat;2019;gross;Bagger;{}
DEMO-000300;Bagger gross 50;SN-DEMO-000300;Schwehat;2020;gross;Bagger;{}
DEMO-000301;stampfer klein 01;SN-DEMO-000301;578;2021;klein;stampfer;{}
DEMO-000302;stampfer klein 02;SN-DEMO-000302;578;2022;klein;stampfer;{}
DEMO-000303;stampfer klein 03;SN-DEMO-000303;578;2023;klein;stampfer;{}
DEMO-000304;stampfer klein 04;SN-DEMO-000304;578;2024;klein;stampfer;{}
DEMO-000305;stampfer klein 05;SN-DEMO-000305;578;2025;klein;stampfer;{}
DEMO-000306;stampfer klein 06;SN-DEMO-000306;578;2026;klein;stampfer;{}
DEMO-000307;stampfer klein 07;SN-DEMO-000307;578;2018;klein;stampfer;{}
DEMO-000308;stampfer klein 08;SN-DEMO-000308;578;2019;klein;stampfer;{}
DEMO-000309;stampfer klein 09;SN-DEMO-000309;578;2020;klein;stampfer;{}
DEMO-000310;stampfer klein 10;SN-DEMO-000310;578;2021;klein;stampfer;{}
DEMO-000311;stampfer klein 11;SN-DEMO-000311;578;2022;klein;stampfer;{}
DEMO-000312;stampfer klein 12;SN-DEMO-000312;578;2023;klein;stampfer;{}
DEMO-000313;stampfer klein 13;SN-DEMO-000313;578;2024;klein;stampfer;{}
DEMO-000314;stampfer klein 14;SN-DEMO-000314;578;2025;klein;stampfer;{}
DEMO-000315;stampfer klein 15;SN-DEMO-000315;578;2026;klein;stampfer;{}
DEMO-000316;stampfer klein 16;SN-DEMO-000316;578;2018;klein;stampfer;{}
DEMO-000317;stampfer klein 17;SN-DEMO-000317;578;2019;klein;stampfer;{}
DEMO-000318;stampfer klein 18;SN-DEMO-000318;578;2020;klein;stampfer;{}
DEMO-000319;stampfer klein 19;SN-DEMO-000319;578;2021;klein;stampfer;{}
DEMO-000320;stampfer klein 20;SN-DEMO-000320;578;2022;klein;stampfer;{}
DEMO-000321;stampfer klein 21;SN-DEMO-000321;578;2023;klein;stampfer;{}
DEMO-000322;stampfer klein 22;SN-DEMO-000322;578;2024;klein;stampfer;{}
DEMO-000323;stampfer klein 23;SN-DEMO-000323;578;2025;klein;stampfer;{}
DEMO-000324;stampfer klein 24;SN-DEMO-000324;578;2026;klein;stampfer;{}
DEMO-000325;stampfer klein 25;SN-DEMO-000325;578;2018;klein;stampfer;{}
DEMO-000326;stampfer klein 26;SN-DEMO-000326;578;2019;klein;stampfer;{}
DEMO-000327;stampfer klein 27;SN-DEMO-000327;578;2020;klein;stampfer;{}
DEMO-000328;stampfer klein 28;SN-DEMO-000328;578;2021;klein;stampfer;{}
DEMO-000329;stampfer klein 29;SN-DEMO-000329;578;2022;klein;stampfer;{}
DEMO-000330;stampfer klein 30;SN-DEMO-000330;578;2023;klein;stampfer;{}
DEMO-000331;stampfer klein 31;SN-DEMO-000331;578;2024;klein;stampfer;{}
DEMO-000332;stampfer klein 32;SN-DEMO-000332;578;2025;klein;stampfer;{}
DEMO-000333;stampfer klein 33;SN-DEMO-000333;578;2026;klein;stampfer;{}
DEMO-000334;stampfer klein 34;SN-DEMO-000334;578;2018;klein;stampfer;{}
DEMO-000335;stampfer klein 35;SN-DEMO-000335;578;2019;klein;stampfer;{}
DEMO-000336;stampfer klein 36;SN-DEMO-000336;578;2020;klein;stampfer;{}
DEMO-000337;stampfer klein 37;SN-DEMO-000337;578;2021;klein;stampfer;{}
DEMO-000338;stampfer klein 38;SN-DEMO-000338;578;2022;klein;stampfer;{}
DEMO-000339;stampfer klein 39;SN-DEMO-000339;578;2023;klein;stampfer;{}
DEMO-000340;stampfer klein 40;SN-DEMO-000340;578;2024;klein;stampfer;{}
DEMO-000341;stampfer klein 41;SN-DEMO-000341;578;2025;klein;stampfer;{}
DEMO-000342;stampfer klein 42;SN-DEMO-000342;578;2026;klein;stampfer;{}
DEMO-000343;stampfer klein 43;SN-DEMO-000343;578;2018;klein;stampfer;{}
DEMO-000344;stampfer klein 44;SN-DEMO-000344;578;2019;klein;stampfer;{}
DEMO-000345;stampfer klein 45;SN-DEMO-000345;578;2020;klein;stampfer;{}
DEMO-000346;stampfer klein 46;SN-DEMO-000346;578;2021;klein;stampfer;{}
DEMO-000347;stampfer klein 47;SN-DEMO-000347;578;2022;klein;stampfer;{}
DEMO-000348;stampfer klein 48;SN-DEMO-000348;578;2023;klein;stampfer;{}
DEMO-000349;stampfer klein 49;SN-DEMO-000349;578;2024;klein;stampfer;{}
DEMO-000350;stampfer klein 50;SN-DEMO-000350;578;2025;klein;stampfer;{}
DEMO-000351;stampfer gross 01;SN-DEMO-000351;578;2026;gross;stampfer;{}
DEMO-000352;stampfer gross 02;SN-DEMO-000352;578;2018;gross;stampfer;{}
DEMO-000353;stampfer gross 03;SN-DEMO-000353;578;2019;gross;stampfer;{}
DEMO-000354;stampfer gross 04;SN-DEMO-000354;578;2020;gross;stampfer;{}
DEMO-000355;stampfer gross 05;SN-DEMO-000355;578;2021;gross;stampfer;{}
DEMO-000356;stampfer gross 06;SN-DEMO-000356;578;2022;gross;stampfer;{}
DEMO-000357;stampfer gross 07;SN-DEMO-000357;578;2023;gross;stampfer;{}
DEMO-000358;stampfer gross 08;SN-DEMO-000358;578;2024;gross;stampfer;{}
DEMO-000359;stampfer gross 09;SN-DEMO-000359;578;2025;gross;stampfer;{}
DEMO-000360;stampfer gross 10;SN-DEMO-000360;578;2026;gross;stampfer;{}
DEMO-000361;stampfer gross 11;SN-DEMO-000361;578;2018;gross;stampfer;{}
DEMO-000362;stampfer gross 12;SN-DEMO-000362;578;2019;gross;stampfer;{}
DEMO-000363;stampfer gross 13;SN-DEMO-000363;578;2020;gross;stampfer;{}
DEMO-000364;stampfer gross 14;SN-DEMO-000364;578;2021;gross;stampfer;{}
DEMO-000365;stampfer gross 15;SN-DEMO-000365;578;2022;gross;stampfer;{}
DEMO-000366;stampfer gross 16;SN-DEMO-000366;578;2023;gross;stampfer;{}
DEMO-000367;stampfer gross 17;SN-DEMO-000367;578;2024;gross;stampfer;{}
DEMO-000368;stampfer gross 18;SN-DEMO-000368;578;2025;gross;stampfer;{}
DEMO-000369;stampfer gross 19;SN-DEMO-000369;578;2026;gross;stampfer;{}
DEMO-000370;stampfer gross 20;SN-DEMO-000370;578;2018;gross;stampfer;{}
DEMO-000371;stampfer gross 21;SN-DEMO-000371;578;2019;gross;stampfer;{}
DEMO-000372;stampfer gross 22;SN-DEMO-000372;578;2020;gross;stampfer;{}
DEMO-000373;stampfer gross 23;SN-DEMO-000373;578;2021;gross;stampfer;{}
DEMO-000374;stampfer gross 24;SN-DEMO-000374;578;2022;gross;stampfer;{}
DEMO-000375;stampfer gross 25;SN-DEMO-000375;578;2023;gross;stampfer;{}
DEMO-000376;stampfer gross 26;SN-DEMO-000376;578;2024;gross;stampfer;{}
DEMO-000377;stampfer gross 27;SN-DEMO-000377;578;2025;gross;stampfer;{}
DEMO-000378;stampfer gross 28;SN-DEMO-000378;578;2026;gross;stampfer;{}
DEMO-000379;stampfer gross 29;SN-DEMO-000379;578;2018;gross;stampfer;{}
DEMO-000380;stampfer gross 30;SN-DEMO-000380;578;2019;gross;stampfer;{}
DEMO-000381;stampfer gross 31;SN-DEMO-000381;578;2020;gross;stampfer;{}
DEMO-000382;stampfer gross 32;SN-DEMO-000382;578;2021;gross;stampfer;{}
DEMO-000383;stampfer gross 33;SN-DEMO-000383;578;2022;gross;stampfer;{}
DEMO-000384;stampfer gross 34;SN-DEMO-000384;578;2023;gross;stampfer;{}
DEMO-000385;stampfer gross 35;SN-DEMO-000385;578;2024;gross;stampfer;{}
DEMO-000386;stampfer gross 36;SN-DEMO-000386;578;2025;gross;stampfer;{}
DEMO-000387;stampfer gross 37;SN-DEMO-000387;578;2026;gross;stampfer;{}
DEMO-000388;stampfer gross 38;SN-DEMO-000388;578;2018;gross;stampfer;{}
DEMO-000389;stampfer gross 39;SN-DEMO-000389;578;2019;gross;stampfer;{}
DEMO-000390;stampfer gross 40;SN-DEMO-000390;578;2020;gross;stampfer;{}
DEMO-000391;stampfer gross 41;SN-DEMO-000391;578;2021;gross;stampfer;{}
DEMO-000392;stampfer gross 42;SN-DEMO-000392;578;2022;gross;stampfer;{}
DEMO-000393;stampfer gross 43;SN-DEMO-000393;578;2023;gross;stampfer;{}
DEMO-000394;stampfer gross 44;SN-DEMO-000394;578;2024;gross;stampfer;{}
DEMO-000395;stampfer gross 45;SN-DEMO-000395;578;2025;gross;stampfer;{}
DEMO-000396;stampfer gross 46;SN-DEMO-000396;578;2026;gross;stampfer;{}
DEMO-000397;stampfer gross 47;SN-DEMO-000397;578;2018;gross;stampfer;{}
DEMO-000398;stampfer gross 48;SN-DEMO-000398;578;2019;gross;stampfer;{}
DEMO-000399;stampfer gross 49;SN-DEMO-000399;578;2020;gross;stampfer;{}
DEMO-000400;stampfer gross 50;SN-DEMO-000400;578;2021;gross;stampfer;{}
DEMO-000401;Kipplader 3.2 m3 Swivel klein 01;SN-DEMO-000401;578;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000402;Kipplader 3.2 m3 Swivel klein 02;SN-DEMO-000402;578;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000403;Kipplader 3.2 m3 Swivel klein 03;SN-DEMO-000403;578;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000404;Kipplader 3.2 m3 Swivel klein 04;SN-DEMO-000404;578;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000405;Kipplader 3.2 m3 Swivel klein 05;SN-DEMO-000405;578;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000406;Kipplader 3.2 m3 Swivel klein 06;SN-DEMO-000406;578;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000407;Kipplader 3.2 m3 Swivel klein 07;SN-DEMO-000407;578;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000408;Kipplader 3.2 m3 Swivel klein 08;SN-DEMO-000408;578;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000409;Kipplader 3.2 m3 Swivel klein 09;SN-DEMO-000409;578;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000410;Kipplader 3.2 m3 Swivel klein 10;SN-DEMO-000410;578;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000411;Kipplader 3.2 m3 Swivel klein 11;SN-DEMO-000411;578;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000412;Kipplader 3.2 m3 Swivel klein 12;SN-DEMO-000412;578;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000413;Kipplader 3.2 m3 Swivel klein 13;SN-DEMO-000413;578;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000414;Kipplader 3.2 m3 Swivel klein 14;SN-DEMO-000414;578;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000415;Kipplader 3.2 m3 Swivel klein 15;SN-DEMO-000415;578;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000416;Kipplader 3.2 m3 Swivel klein 16;SN-DEMO-000416;578;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000417;Kipplader 3.2 m3 Swivel klein 17;SN-DEMO-000417;578;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000418;Kipplader 3.2 m3 Swivel klein 18;SN-DEMO-000418;578;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000419;Kipplader 3.2 m3 Swivel klein 19;SN-DEMO-000419;578;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000420;Kipplader 3.2 m3 Swivel klein 20;SN-DEMO-000420;578;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000421;Kipplader 3.2 m3 Swivel klein 21;SN-DEMO-000421;578;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000422;Kipplader 3.2 m3 Swivel klein 22;SN-DEMO-000422;578;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000423;Kipplader 3.2 m3 Swivel klein 23;SN-DEMO-000423;578;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000424;Kipplader 3.2 m3 Swivel klein 24;SN-DEMO-000424;578;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000425;Kipplader 3.2 m3 Swivel klein 25;SN-DEMO-000425;578;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000426;Kipplader 3.2 m3 Swivel klein 26;SN-DEMO-000426;578;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000427;Kipplader 3.2 m3 Swivel klein 27;SN-DEMO-000427;578;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000428;Kipplader 3.2 m3 Swivel klein 28;SN-DEMO-000428;578;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000429;Kipplader 3.2 m3 Swivel klein 29;SN-DEMO-000429;578;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000430;Kipplader 3.2 m3 Swivel klein 30;SN-DEMO-000430;578;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000431;Kipplader 3.2 m3 Swivel klein 31;SN-DEMO-000431;578;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000432;Kipplader 3.2 m3 Swivel klein 32;SN-DEMO-000432;578;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000433;Kipplader 3.2 m3 Swivel klein 33;SN-DEMO-000433;578;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000434;Kipplader 3.2 m3 Swivel klein 34;SN-DEMO-000434;578;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000435;Kipplader 3.2 m3 Swivel klein 35;SN-DEMO-000435;578;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000436;Kipplader 3.2 m3 Swivel klein 36;SN-DEMO-000436;578;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000437;Kipplader 3.2 m3 Swivel klein 37;SN-DEMO-000437;578;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000438;Kipplader 3.2 m3 Swivel klein 38;SN-DEMO-000438;578;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000439;Kipplader 3.2 m3 Swivel klein 39;SN-DEMO-000439;578;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000440;Kipplader 3.2 m3 Swivel klein 40;SN-DEMO-000440;578;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000441;Kipplader 3.2 m3 Swivel klein 41;SN-DEMO-000441;578;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000442;Kipplader 3.2 m3 Swivel klein 42;SN-DEMO-000442;578;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000443;Kipplader 3.2 m3 Swivel klein 43;SN-DEMO-000443;578;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000444;Kipplader 3.2 m3 Swivel klein 44;SN-DEMO-000444;578;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000445;Kipplader 3.2 m3 Swivel klein 45;SN-DEMO-000445;578;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000446;Kipplader 3.2 m3 Swivel klein 46;SN-DEMO-000446;578;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000447;Kipplader 3.2 m3 Swivel klein 47;SN-DEMO-000447;578;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000448;Kipplader 3.2 m3 Swivel klein 48;SN-DEMO-000448;578;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000449;Kipplader 3.2 m3 Swivel klein 49;SN-DEMO-000449;578;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000450;Kipplader 3.2 m3 Swivel klein 50;SN-DEMO-000450;578;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000451;Kipplader 3.2 m3 Swivel gross 01;SN-DEMO-000451;578;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000452;Kipplader 3.2 m3 Swivel gross 02;SN-DEMO-000452;578;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000453;Kipplader 3.2 m3 Swivel gross 03;SN-DEMO-000453;578;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000454;Kipplader 3.2 m3 Swivel gross 04;SN-DEMO-000454;578;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000455;Kipplader 3.2 m3 Swivel gross 05;SN-DEMO-000455;578;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000456;Kipplader 3.2 m3 Swivel gross 06;SN-DEMO-000456;578;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000457;Kipplader 3.2 m3 Swivel gross 07;SN-DEMO-000457;578;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000458;Kipplader 3.2 m3 Swivel gross 08;SN-DEMO-000458;578;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000459;Kipplader 3.2 m3 Swivel gross 09;SN-DEMO-000459;578;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000460;Kipplader 3.2 m3 Swivel gross 10;SN-DEMO-000460;578;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000461;Kipplader 3.2 m3 Swivel gross 11;SN-DEMO-000461;578;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000462;Kipplader 3.2 m3 Swivel gross 12;SN-DEMO-000462;578;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000463;Kipplader 3.2 m3 Swivel gross 13;SN-DEMO-000463;578;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000464;Kipplader 3.2 m3 Swivel gross 14;SN-DEMO-000464;578;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000465;Kipplader 3.2 m3 Swivel gross 15;SN-DEMO-000465;578;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000466;Kipplader 3.2 m3 Swivel gross 16;SN-DEMO-000466;578;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000467;Kipplader 3.2 m3 Swivel gross 17;SN-DEMO-000467;578;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000468;Kipplader 3.2 m3 Swivel gross 18;SN-DEMO-000468;578;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000469;Kipplader 3.2 m3 Swivel gross 19;SN-DEMO-000469;578;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000470;Kipplader 3.2 m3 Swivel gross 20;SN-DEMO-000470;578;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000471;Kipplader 3.2 m3 Swivel gross 21;SN-DEMO-000471;578;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000472;Kipplader 3.2 m3 Swivel gross 22;SN-DEMO-000472;578;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000473;Kipplader 3.2 m3 Swivel gross 23;SN-DEMO-000473;578;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000474;Kipplader 3.2 m3 Swivel gross 24;SN-DEMO-000474;578;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000475;Kipplader 3.2 m3 Swivel gross 25;SN-DEMO-000475;578;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000476;Kipplader 3.2 m3 Swivel gross 26;SN-DEMO-000476;578;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000477;Kipplader 3.2 m3 Swivel gross 27;SN-DEMO-000477;578;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000478;Kipplader 3.2 m3 Swivel gross 28;SN-DEMO-000478;578;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000479;Kipplader 3.2 m3 Swivel gross 29;SN-DEMO-000479;578;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000480;Kipplader 3.2 m3 Swivel gross 30;SN-DEMO-000480;578;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000481;Kipplader 3.2 m3 Swivel gross 31;SN-DEMO-000481;578;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000482;Kipplader 3.2 m3 Swivel gross 32;SN-DEMO-000482;578;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000483;Kipplader 3.2 m3 Swivel gross 33;SN-DEMO-000483;578;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000484;Kipplader 3.2 m3 Swivel gross 34;SN-DEMO-000484;578;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000485;Kipplader 3.2 m3 Swivel gross 35;SN-DEMO-000485;578;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000486;Kipplader 3.2 m3 Swivel gross 36;SN-DEMO-000486;578;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000487;Kipplader 3.2 m3 Swivel gross 37;SN-DEMO-000487;578;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000488;Kipplader 3.2 m3 Swivel gross 38;SN-DEMO-000488;578;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000489;Kipplader 3.2 m3 Swivel gross 39;SN-DEMO-000489;578;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000490;Kipplader 3.2 m3 Swivel gross 40;SN-DEMO-000490;578;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000491;Kipplader 3.2 m3 Swivel gross 41;SN-DEMO-000491;578;2022;gross;Kipplader 3.2 m3 Swivel;{}
